# This file contains the words that were used for building the table
# of frequencies. It can be also used for further tasks, and for this
# purpose it can be manually revised, edited, deleted, culled, etc.
# You can either delete unwanted words, or mark them with "#"
# -----------------------------------------------------------------------

#la educación media superior
#de la asignatura de
evidencias del logro de
los siguientes ámbitos ámbito
reglas o principios medulares
siguientes ámbitos ámbito perfil
a los contenidos centrales
a una serie de
conoce y valora a
de los aprendizajes en
de los contenidos y
del proceso de enseñanza
en el programa de
la integración de la
se conoce y valora
subyacen a una serie
y actitudes de los
y valora a sí
asignatura de física ii
asume una actitud constructiva
componente de formación básica
cuadro de contenidos de
de estudio para la
de forma oral y
desafíos del presente y
diario oficial de la
el plan de evaluación
en el siglo xxi
estudio para la educación
ideas clave en un
la asignatura de inglés
la asignatura de lectura
las ideas clave en
lo anterior en la
medidas de tendencia central
oficial de la federación
una comunidad de aprendizaje
uno de los contenidos
y responde a formas
aprendizaje basado en proyectos
aprendizajes previos de la
con fluidez y naturalidad
contenidos de la asignatura
de acuerdo con las
de los contenidos específicos
de probabilidad y estadística
de su entorno cotidiano
dentro de la estrategia
desarrollo de competencias que
didáctica de la asignatura
discurso oral e infiere
educación media superior a
el estudio de la
el logro de aprendizajes
elementos de organización curricular
en el aula y
en los últimos años
en un texto o
es el contenido de
evidencia de que el
integra los contenidos centrales
la asignatura de geometría
la ciencia y la
los estudiantes así como
media superior a través
programa de estudios de
redactar las actividades de
relacionarse con los demás
secretaría de educación pública
superior a través de
tecnología sociedad y valores
a los estudiantes a
abril de en http
aprendizaje en el siglo
centrales y responde a
comunica en inglés con
conclusiones a partir de
contenidos centrales y responde
contexto en el que
currículo en seis países
del programa de estudios
educativas y currículo en
el siglo xxi metas
en un mundo que
específico aprendizaje esperado productos
expresa ideas y conceptos
http cosdac sems gob
identifica las ideas clave
instrumentos de evaluación que
metas políticas educativas y
otros puntos de vista
políticas educativas y currículo
práctica evaluativa docente en
se comunica en inglés
siglo xxi metas políticas
#www sems gob mx
xxi metas políticas educativas
y aprendizaje en el
y currículo en seis
y escrita i y
y propone soluciones a
a los aprendizajes esperados
a partir de ellas
a partir de las
asignatura de lectura expresión
asignaturas del componente de
centrales y por su
comunidad de aprendizaje en
con el fin de
contenidos centrales y por
cotidiana de los estudiantes
de educación a distancia
de en http www
de este nivel educativo
de la federación el
de la tecnología la
de los estudiantes así
de manera crítica y
de planeación didáctica de
egreso de la educación
el de septiembre de
el diario oficial de
en el diario oficial
en inglés con fluidez
en los foros de
estructura del cuadro de
federación el de septiembre
genera y o integra
gob mx portal index
inglés con fluidez y
la experiencia de los
la federación el de
la vida cotidiana de
logro de las competencias
mx portal index php
o integra los contenidos
para el campo disciplinar
para favorecer la transversalidad
planeación didáctica de la
publicado en el diario
que el propósito de
revista iberoamericana de educación
sems gob mx portal
teniendo en cuenta los
vida cotidiana de los
y o integra los
y que no se
a lo largo del
aporta puntos de vista
aprendizaje en la que
cada uno de sus
con base en la
contribuye al alcance de
corresponde a los contenidos
de cada campo o
de contenidos de la
de la subsecretaría de
de las academias de
de las actividades de
de vista de manera
desarrollo de habilidades socioemocionales
eje componente contenido específico
el contexto en el
el diseño de la
en día los jóvenes
en el uso de
en la exposición del
en la que se
en la siguiente tabla
evaluación en lugar de
fundamentales para el desarrollo
hoy en día los
importante para el desarrollo
integral de la educación
la educación obligatoria en
la perseverancia la honestidad
la realidad de los
la reforma integral de
la secretaría de educación
las competencias que se
los niños y jóvenes
modelo educativo para la
oral e infiere conclusiones
para investigar resolver problemas
portal index php docentes
proceso de aprendizaje e
que permiten a los
reconoce la necesidad de
reforma integral de la
responde a formas de
semana sesión reforzamiento hse
sobre temas de interés
solicita a los estudiantes
sus opciones y recursos
y por su especificidad
a actuar y a
a aprender a pensar
a desarrollarse como personas
a entornos cambiantes el
a la fragmentación con
a las necesidades presentes
a los jóvenes responder
a pensar críticamente a
a relacionarse con los
a todas las preocupaciones
a una educación de
a uno proactivo y
academias de trabajo colegiado
acerca de la relevancia
actualizado pone el aprendizaje
actuar y a relacionarse
acumulación de contenidos desconectados
adaptarse a entornos cambiantes
adelante en la vida
además se han considerado
al centro de los
al dinamismo actual que
alcancen las metas que
alternativas para actuar y
alumnos estén pasivos de
analítico crítico reflexivo sintético
años los planes y
aplicabilidad relevancia pertinencia y
aprendan a aprender a
aprenden mejor cuando están
aprender a pensar críticamente
aprendizaje entendido como un
aprendizaje este cambio es
aprendizaje se rige por
aprendizajes clave de la
aprendizajes esperados de la
área de conocimiento que
articulación pertinencia y vertebración
asignaturas se transformaron para
asignaturas sino que los
asignaturas son importantes porque
aspectos fundamentales que permiten
atendieron todas las observaciones
aula y en la
aulas en el nuevo
autores han dedicado muchas
bachillerato tecnológico en todos
base en una encuesta
básica del bachillerato general
buena educación es importante
cada vez más importante
cambiantes el liderazgo y
cambio es clave porque
campo disciplinar de comunicación
cantidades de información a
centradas principalmente en la
centro de la acción
centro de los esfuerzos
chung para favorecer la
clara coherente y sintética
clases centradas principalmente en
clave de la asignatura
clave porque los estudiantes
colaboración la creatividad la
colegiado docente de todo
como el mexicano existe
como personas competentes y
como un continuo en
comparadas con las ya
competencias destrezas y habilidades
competencias genéricas y disciplinares
competencias habilidades y destrezas
competencias para responder con
competencias que son fundamentales
competentes y flexibles que
común de la educación
comunicación el espíritu emprendedor
con clases centradas principalmente
con ello lograr la
con éxito al dinamismo
con la realidad de
con las ya desarrolladas
con los demás para
con pensamiento crítico y
concreción de esta percepción
concreción pedagógica y curricular
conexión entre éstos la
confiamos en haber dado
conocimiento que se encuentren
consenso mundial indica que
considera que una buena
considerado las recomendaciones vertidas
consideraron y atendieron todas
consulta convocado por la
consulta en línea confiamos
consultas nacionales y estatales
contenidos curriculares de las
contenidos desconectados el aprendizaje
continuo en oposición a
contraste con clases centradas
convocado por la sep
creatividad la comunicación el
críticamente a actuar y
crítico reflexivo sintético y
crítico y de un
cuando están involucrados en
cuatro funciones y los
cuatro propósitos de este
cumplió su propósito inicial
curricular común de la
curricular en las aulas
curriculares de las asignaturas
currículo actualizado pone el
currículo de la ems
currículo vigente se han
dada la relevancia que
dado respuesta a todas
de aprendizaje e indicadores
de competencias habilidades y
de competencias que son
de concreción pedagógica y
de conocimiento que se
de consulta convocado por
de consultas nacionales y
de contenidos desconectados el
de educación pública sep
de esta manera los
de esta percepción acerca
de estudio se han
de evaluación que dejan
de la acción educativa
de la educación es
de la educación no
de la relevancia social
de lado aspectos fundamentales
de las asignaturas se
de las asignaturas sino
de las asignaturas son
de las cuatro funciones
de las economías en
de las evaluaciones nacionales
de las sociedades con
de los esfuerzos institucionales
de los jóvenes actualmente
de los jóvenes en
de los jóvenes y
de los planes y
de motivar al estudiante
de problemas la responsabilidad
de promover la colaboración
de que el modelo
de que la educación
de recuperar sus experiencias
de temas de filosofía
de todo el país
de trabajo colegiado docente
de un currículo actualizado
de un estudiante pasivo
deben desarrollar para responder
deben formarse de tal
dedicado muchas páginas en
dejado de lado aspectos
del área bajo la
del área de conocimiento
del bachillerato general y
del desarrollo personal y
del marco curricular común
del nuevo currículo de
del presente en este
del presente y prepararse
del profesor en las
del siglo xxi en
demás para lograr retos
derecho a una educación
desafíos del presente en
desafíos del siglo xxi
desarrolladas considera que una
desarrollan es importante mencionar
desarrollar para responder a
desarrollarse como personas competentes
desarrollo comparadas con las
desarrollo de competencias habilidades
desarrollo personal y social
desconectados el aprendizaje se
desde el punto de
destrezas sin embargo en
destrezas y habilidades que
determinación la flexibilidad para
día los jóvenes de
dimensión de concreción pedagógica
diseño de la reforma
diversos autores han dedicado
docente de todo el
e inquietudes que se
economías en desarrollo comparadas
educación es cada vez
educación es importante para
educación es impostergable que
educación no es solamente
educación obligatoria en general
educativo dada la relevancia
educativos como el mexicano
ejerzan su derecho a
el aprendizaje se rige
el aula y en
el cambio de roles
el centro de la
el consenso mundial indica
el currículo vigente se
el desarrollo de habilidades
el entorno en el
el esfuerzo no ha
el espíritu emprendedor la
el estudio enseñanza y
el futuro diversos autores
el liderazgo y la
el mexicano existe evidencia
el país que participaron
el proceso de consulta
el propósito de recuperar
el punto de vista
el que se desarrollan
el trabajo se realizó
elaboración de los planes
elaboración del nuevo currículo
ello deben formarse de
ello la educación media
ello lograr la conexión
embargo en el currículo
embargo los resultados de
emprendedor la resolución de
en contraste con clases
en desarrollo comparadas con
en el caso de
en el centro de
en el currículo vigente
en el estudio enseñanza
en este sentido son
en general y para
en haber dado respuesta
en http cosdac sems
en la consulta en
en la definición de
en la educación como
en la elaboración del
en la escuela sea
en la necesidad de
en la práctica docente
en la sociedad existe
en la vida reimers
en las aulas en
en las que es
en línea confiamos en
en listar las competencias
en oposición a la
en que los jóvenes
en segundo lugar se
en seis países un
en todos los campos
en una encuesta internacional
encuentren estudiando prensky los
encuesta internacional referida en
enfrentar los desafíos del
enfrentar para superar los
entendido como un continuo
entorno en el que
entornos cambiantes el liderazgo
entre éstos la escuela
es cada vez más
es clave porque los
es en la definición
es impersonal homogénea y
es importante para salir
es impostergable que la
es innegable que en
es más frecuente que
es relevante para sus
es solamente memorizar contenidos
escuela sea pertinente por
escuela y el entorno
esfuerzo no ha sido
esfuerzos institucionales impulsa el
específico aprendizaje esperado producto
espíritu emprendedor la resolución
esquemas de evaluación que
esta manera los contenidos
esta percepción acerca de
establecido y para ello
están involucrados en contraste
estatales y en la
este cambio es clave
este sentido son coincidentes
estén pasivos de esta
éstos la escuela y
estudiando prensky los contenidos
estudiante pasivo a uno
estudiantes al centro de
estudiantes aprenden mejor cuando
estudiantes así como amnesia
estudio enseñanza y aprendizaje
evaluaciones nacionales e internacionales
existe evidencia de que
existe la percepción de
éxito al dinamismo actual
experiencia de los jóvenes
experiencias además se han
exposición del profesor en
favorecer la concreción de
flexibilidad para adaptarse a
flexibles que logren potenciar
forma parte de su
formarse de tal manera
formas en que los
foros de consultas nacionales
fragmentación con la que
frecuente que los alumnos
funciones y los cuatro
fundamentales que permiten a
futuras de los jóvenes
futuro diversos autores han
futuro en segundo lugar
general y para la
gerver y marc prensky
haber dado respuesta a
habilidades que deben desarrollar
habilidades y alcancen las
habilidades y destrezas sin
hacer y qué no
hacia la vida adulta
han considerado las recomendaciones
han dedicado muchas páginas
han dejado de lado
hayan establecido y para
homogénea y prioriza la
honestidad la determinación la
http www sems gob
impersonal homogénea y prioriza
importante mencionar que en
importante para salir adelante
importantes porque propician y
impostergable que la experiencia
impulsa el logro de
independientemente del área de
indica que el propósito
inicial sin embargo los
innegable que en los
innovación en la sociedad
innovación joseph stiglitz ken
inquietudes que se manifestaron
institucionales impulsa el logro
instructor a uno que
integral y transversal del
internacional referida en el
involucrados en contraste con
joseph stiglitz ken robinson
jóvenes actualmente la enseñanza
jóvenes ejerzan su derecho
jóvenes en la escuela
jóvenes lleguen a desarrollarse
jóvenes responder a los
jóvenes y con ello
ken robinson richard gerver
la articulación pertinencia y
la colaboración la creatividad
la comunicación el espíritu
la concreción de esta
la conexión entre éstos
la consulta en línea
la creatividad la comunicación
la determinación la flexibilidad
la educación es cada
la educación es impostergable
la educación no es
la elaboración del nuevo
la escuela sea pertinente
la escuela y el
la escuela y los
la exposición del profesor
la flexibilidad para adaptarse
la fragmentación con la
la honestidad la determinación
la innovación en la
la necesidad de promover
la percepción de que
la relevancia que la
la relevancia social de
la responsabilidad social el
la sep con el
la sociedad existe la
la sociedad ve en
la tecnología la perseverancia
la tecnología que forma
la vida reimers y
lado aspectos fundamentales que
las academias de trabajo
las actividades de aprendizaje
las asignaturas del componente
las asignaturas se transformaron
las asignaturas sino que
las asignaturas son importantes
las aulas en el
las competencias destrezas y
las cuatro funciones y
las economías en desarrollo
las evaluaciones nacionales e
las nuevas formas en
las observaciones y recomendaciones
las preocupaciones e inquietudes
las que es más
las recomendaciones vertidas en
las sociedades con base
las ya desarrolladas considera
les dice a los
liderazgo y la innovación
línea confiamos en haber
listar las competencias destrezas
lleguen a desarrollarse como
lograr la conexión entre
lograr retos significativos independientemente
logren potenciar sus habilidades
logro de las cuatro
los alumnos estén pasivos
los cuatro propósitos de
los demás para lograr
los desafíos del siglo
los esfuerzos institucionales impulsa
los esquemas de evaluación
los estudiantes al centro
los estudiantes aprenden mejor
los foros de consultas
los jóvenes actualmente la
los jóvenes aprenden y
los jóvenes en la
los jóvenes lleguen a
los jóvenes responder a
los jóvenes y con
los programas de las
los resultados de las
los sistemas educativos como
los últimos años los
lugar se requiere un
manera efectiva en equipos
manera los contenidos de
manera que aprendan a
manifestaron el consenso mundial
marc prensky entre otros
marco curricular común de
más frecuente que los
más importante para el
mayor de las economías
media superior se consideraron
mejor cuando están involucrados
memorizar contenidos curriculares de
mencionar que en la
metas que se hayan
mexicano existe evidencia de
miden el desarrollo gradual
modelo educativo dada la
modelo educativo de la
muchas páginas en listar
mundial indica que el
mundo que evoluciona de
nacionales y estatales y
necesidad de promover la
necesidad de solicitar apoyo
niños y jóvenes ejerzan
no es solamente memorizar
no miden el desarrollo
no responde a las
no son un grupo
nuevas formas en que
nuevo modelo educativo dada
o discurso oral e
obligatoria en general y
observa la articulación pertinencia
observaciones y recomendaciones de
opera en el aula
oposición a la fragmentación
orientan el desarrollo de
páginas en listar las
país que participaron en
países un porcentaje mayor
para adaptarse a entornos
para el futuro diversos
para ello deben formarse
para enfrentar los desafíos
para favorecer la concreción
para lograr retos significativos
para que sean pertinentes
para responder a los
para responder con éxito
para salir adelante en
parte de su entorno
participaron en el proceso
pasar de un estudiante
pasivo a uno proactivo
pasivos de esta manera
pedagógica y curricular en
pensamiento analítico crítico reflexivo
pensamiento crítico y de
pensar críticamente a actuar
percepción acerca de la
percepción de que la
permiten a los jóvenes
perseverancia la honestidad la
personal sobre temas de
personal y social un
personas competentes y flexibles
personas y de las
pertinencia y vertebración con
pertinente por ello la
pertinentes con la realidad
pone el aprendizaje de
por ello la educación
por la sep con
porcentaje mayor de las
porque los estudiantes aprenden
porque propician y orientan
potenciar sus habilidades y
prensky entre otros procesan
prensky los contenidos de
preocupaciones e inquietudes que
prepararse para el futuro
presente en este sentido
presente y prepararse para
principalmente en la exposición
prioriza la acumulación de
proactivo y con pensamiento
problemas la responsabilidad social
proceso de consulta convocado
profesor en las que
programas de estudio para
programas de estudio se
programas de las asignaturas
promover la colaboración la
propician y orientan el
propósito de la educación
propósito de recuperar sus
propósito inicial sin embargo
propósitos de este nivel
que aprendan a aprender
que conforman el currículo
que deben desarrollar para
que el esfuerzo no
que el modelo educativo
que en la elaboración
que en los últimos
que es más frecuente
que forma parte de
qué hacer y qué
que la educación es
que la experiencia de
que la reforma integral
que la sociedad ve
que logren potenciar sus
que los alumnos estén
que los jóvenes aprenden
que los jóvenes lleguen
qué no hacer y
que no miden el
que no se ha
que participaron en el
que se centre en
que se desarrollan es
que se encuentren estudiando
que se hayan establecido
que se les dice
que se manifestaron el
que sean pertinentes con
que son fundamentales para
que todos los niños
que una buena educación
realidad de los jóvenes
recomendaciones de las academias
recomendaciones vertidas en los
recuperar sus experiencias además
referida en el estudio
reflexivo sintético y creativo
reimers y chung para
relevancia que la sociedad
relevancia social de la
relevante para sus intereses
resolución de problemas la
responde a las necesidades
responder con éxito al
responsabilidad social el uso
respuesta a todas las
resultados de las evaluaciones
retos significativos independientemente del
richard gerver y marc
riems cumplió su propósito
rigurosamente qué hacer y
robinson richard gerver y
salir adelante en la
se comunica en un
se consideraron y atendieron
se desarrollan es importante
se encuentren estudiando prensky
se han considerado las
se han dejado de
se hayan establecido y
se les dice a
se manifestaron el consenso
se observa la articulación
se rige por un
se transformaron para que
sea pertinente por ello
sean pertinentes con la
segmentado y limitado por
segundo lugar se requiere
seis países un porcentaje
sep con el propósito
siglo xxi en el
significativos independientemente del área
sin embargo en el
sin embargo los resultados
sino que los jóvenes
sintético y creativo en
sistemas educativos como el
situaciones de la vida
social de la educación
social el uso de
social un elemento clave
sociedad existe la percepción
sociedad ve en la
sociedades con base en
solamente memorizar contenidos curriculares
son fundamentales para el
son importantes porque propician
son un grupo homogéneo
stiglitz ken robinson richard
su derecho a una
su propósito inicial sin
suficiente y que no
superior riems cumplió su
superior se consideraron y
sus experiencias además se
sus habilidades y alcancen
tal manera que aprendan
tecnología la perseverancia la
tecnología que forma parte
tecnológico en todos los
texto o discurso oral
todas las observaciones y
todas las preocupaciones e
todo el país que
todos los niños y
trabajo colegiado docente de
transformaron para que sean
transversal del conocimiento y
través de un currículo
últimos años los planes
un continuo en oposición
un currículo actualizado pone
un elemento clave es
un estudiante pasivo a
un grupo homogéneo que
un mundo que evoluciona
un porcentaje mayor de
una buena educación es
una dimensión de concreción
una encuesta internacional referida
una visión integral y
uno proactivo y con
ve en la educación
vertidas en los foros
vez más importante para
vida reimers y chung
vigente se han dejado
visión integral y transversal
xxi en el diseño
y a los contenidos
y a relacionarse con
y alcancen las metas
y atendieron todas las
y chung para favorecer
y con ello lograr
y con pensamiento crítico
y creativo en oposición
y curricular en las
y de las sociedades
y destrezas sin embargo
y el entorno en
y en la consulta
y en la práctica
y estatales y en
y flexibles que logren
y habilidades que deben
y jóvenes ejerzan su
y la innovación en
y los cuatro propósitos
y marc prensky entre
y orientan el desarrollo
y para ello deben
y para la educación
y prepararse para el
y prioriza la acumulación
y que la reforma
y qué no hacer
y que no miden
y recomendaciones de las
y social un elemento
y su aprendizaje y
y transversal del conocimiento
ya desarrolladas considera que
a sí mismo y
aborda problemas y retos
asignatura de física i
coincidentes en la necesidad
conceptos habilidades y actitudes
cuenta de que el
de evaluación por competencias
de la vida cotidiana
de medios códigos y
de un problema con
desarrollar ideas e innovaciones
desarrollar un proyecto en
e infiere conclusiones a
el aprendizaje basado en
el currículo de la
el pensamiento lógico y
esperados de la asignatura
esperados y a los
establecen el alcance y
estas tecnologías para desarrollar
habilidades y actitudes de
integración de la comunidad
la comunidad de aprendizaje
la forma en que
los aprendizajes esperados en
los objetivos que persigue
papel de la gramática
para desarrollar ideas e
que los estudiantes aprendan
sentido son coincidentes en
son coincidentes en la
sustenta una postura personal
tecnologías para desarrollar ideas
valora a sí mismo
y considera los de
y el papel de
y no el logro
al alcance de un
al aprendizaje clave es
apertura y considera los
aprendizaje basado en la
aprendizajes esperados y a
cada una de las
campo o disciplina contenido
clave en un texto
con base en las
con la intención de
considera los de otras
contenidos específicos aprendizajes esperados
corresponde al aprendizaje clave
currículo donde se observa
de un conjunto de
definiendo un curso de
desarrollo de las actividades
donde se observa la
en la educación media
en la etapa de
estudiantes para cada uno
infiere conclusiones a partir
investigar resolver problemas producir
la asignatura de ecología
la evaluación de los
la necesidad de solicitar
la toma de decisiones
las medidas de tendencia
lidiar con riesgos futuros
los estudiantes para cada
obtenida de un problema
puntos de vista con
un texto o discurso
a formas de organización
a los contenidos específicos
acuerdo secretarial publicado en
aprendizaje clave es el
aprendizaje e indicadores del
aprendizajes clave que se
argumenta la solución obtenida
asignatura de probabilidad y
asignatura de química ii
cárdenas es en la
clave es el contenido
con el objetivo de
contenido de mayor jerarquía
contenidos centrales y específicos
de ciencia tecnología sociedad
de formación básica del
de la misma forma
de la secuencia didáctica
de la sociedad del
de las variables y
de su vida cotidiana
del aprendizaje y la
del componente de formación
docente y el estudiante
e indicadores del desempeño
el acuerdo secretarial publicado
en el ámbito educativo
en relación con el
es un instrumento que
favorecer la transversalidad interdisciplinar
la asignatura de probabilidad
la ciencia la tecnología
la misma forma se
la sociedad del conocimiento
las características de los
los estudiantes aprendan a
los estudiantes en el
los resultados de aprendizaje
manera clara coherente y
monitorear el proceso de
oral y escrita ii
para el estudio de
problemas producir materiales y
proceso de aprendizaje y
profundidad de su abordaje
programas por asignatura como
reimers y cárdenas es
resolver problemas producir materiales
secretarial publicado en el
un problema con métodos
y articula conceptos habilidades
y cárdenas es en
y colabora de manera
a partir de situaciones
a través del logro
actividades de enseñanza y
al máximo sus opciones
al redactar las actividades
amnesia post evaluación en
aprendizajes esperados productos esperados
aprovechar al máximo sus
asignatura de cálculo diferencial
asignatura de química i
autoconsciente y determinado cultiva
campo disciplinar de humanidades
capacidad de afrontar la
ciencia y la tecnología
colaboración y trabajo en
competencias disciplinares básicas de
contexto en que se
contextos históricos y sociales
corresponde a los aprendizajes
cultiva relaciones interpersonales sanas
curricular del bachillerato tecnológico
de aprendizaje de los
de enseñanza y de
de las ponderaciones es
de que el estudiante
decisiones que le generan
desarrollo de los siguientes
desempeño de los estudiantes
determinado cultiva relaciones interpersonales
educación media superior ems
educación media superior riems
educación media superior sems
educativo para la educación
efectiva en equipos diversos
el contenido de mayor
el contexto en que
el docente y el
el método de proyectos
el modelo educativo para
el que se encuentra
en contextos históricos y
en equipo de manera
en la apertura y
en la estrategia didáctica
enseñanza y de aprendizaje
equipo de manera constructiva
equipo definiendo un curso
es autoconsciente y determinado
es la planeación sistemática
es sensible al arte
escrita i y de
específica de cada campo
estructura ideas y argumentos
evaluación de los aprendizajes
fomentar el trabajo colaborativo
fomentar la autoevaluación y
históricos y sociales específicos
la autoevaluación y coevaluación
la intención de que
la planeación sistemática de
la retroalimentación oportuna y
la suma de las
largo de la vida
las competencias disciplinares básicas
le generan bienestar presente
los alumnos ya que
los aprendizajes esperados que
los contenidos y aprendizajes
los jóvenes de la
máximo sus opciones y
oportunidades y sabe lidiar
organiza y articula conceptos
para actuar y solucionar
para el aprendizaje del
planeación sistemática de un
por lo anterior en
post evaluación en lugar
propone alternativas para actuar
que le generan bienestar
realiza con la intención
referente para favorecer la
retroalimentación oportuna y pertinente
sabe lidiar con riesgos
se expresa con claridad
se realiza con la
según quienes sean sus
sensible al arte y
sistemática de un conjunto
su entorno cotidiano y
suma de las ponderaciones
temas de interés y
tiene capacidad de afrontar
toma decisiones que le
trabaja en equipo de
través del logro de
un conjunto de acciones
un proceso de aprendizaje
una educación de calidad
uno de sus pasos
utilización de medios códigos
vista de manera crítica
y determinado cultiva relaciones
y la comunicación para
y proyecto de vida
y reconoce la necesidad
y sabe lidiar con
y su relación con
a la memorización esto
a los alumnos rigurosamente
a los jóvenes en
a muchos alumnos y
a su disposición una
a uno que es
a viejas prácticas todo
abandono escolar para ello
abordado tradicionalmente así se
acción educativa y se
actividades en las que
actual que los jóvenes
actualmente la enseñanza se
actuar y solucionar problemas
adecuación de los programas
adecuar los programas de
adulta interactúan en un
alumnos rigurosamente qué hacer
alumnos y que no
alumnos ya que la
ambiente en contextos históricos
ámbitos individuales define el
anterior en la educación
aprende por iniciativa e
aprenden y lo seguirán
aprendizaje del inglés en
aprendizaje y la innovación
aprendizaje y que ponga
aprendizajes denominados aprendizajes clave
aprendizajes esperados consideraciones para
aprendizajes la escuela en
aprendizajes necesarios para enfrentar
aprendizajes profundos el conocimiento
aprendizajes significativos y profundos
aprendizajes y competencias para
aprovecha estas tecnologías para
así como amnesia post
así como los programas
así se coloca a
asignatura de inglés porque
asimismo los esquemas de
aula mediante una comunidad
bachillerato general y del
bajos resultados la reprobación
base en una visión
básico del marco curricular
bibliografía recomendada anexo ejemplo
bienestar presente oportunidades y
busca aprovechar al máximo
cada campo disciplinar que
cada día más relegada
calado cuyo objetivo central
calendario estricto de actividades
calidad y reciban una
cambio de roles pasar
cambios curriculares para la
campo disciplinar que opera
campo disciplinar que se
campos disciplinares que conforman
central es el lograr
centre en la juventud
clave es el desarrollo
clave que se definen
coloca a los jóvenes
como amnesia post evaluación
como los bajos resultados
como los programas por
como obligación la elaboración
como otras naciones en
como potenciadora del desarrollo
competencias que se incorporan
componente básico del marco
con aprendizajes esperados consideraciones
con la que ha
con las metas nacionales
con limitada aplicabilidad relevancia
conducto de la subsecretaría
conforman el currículo de
conocer mejor el contexto
conocimiento hacia la sociedad
conocimiento se encuentra fragmentado
conocimiento y aprendizaje entendido
conocimientos fragmentados con limitada
consecuencia requiere transformarse de
consecuente acumulación de contenidos
consultar el modelo educativo
contenidos y secuencia curricular
correspondientes está en proceso
cotidiano y es relevante
creativo en oposición al
cual incluso puede derivar
curricular dentro de la
curriculares para la educación
currículo la escuela y
currículo pertinente y dinámico
currículos para la educación
cuyo objetivo central es
dan cuenta de que
datos de identificación propósito
de actividades en las
de aprendizajes denominados aprendizajes
de aprendizajes profundos el
de aprendizajes significativos y
de calidad y reciban
de éstos lo cual
de fondo para lograr
de fortalecimiento para el
de gran calado cuyo
